prompt_id,baseline_prob,condition_a_delta,condition_b_delta,condition_c_delta,max_head_layer,max_head_index
0,0.032245,0.032757,-0.424181,-1.003678,4,11
1,0.157349,-0.084919,-0.239419,0.100762,4,11
2,0.052726,-0.003832,-0.054055,0.115667,4,11
3,0.105013,0.045157,0.069807,0.152093,4,11
4,0.067272,-0.066388,0.187041,-0.134727,4,11
5,0.025915,0.016323,-0.187463,-0.399839,4,11
6,0.016728,0.035981,-0.254146,-0.452474,4,11
7,0.005246,-0.010208,-0.318867,-0.59835,4,11
8,0.035357,0.092889,-0.156983,-0.336869,4,11
9,0.008284,0.009742,-0.21907,-0.031793,4,11
10,0.026119,-0.003972,-0.138569,-0.095721,4,11
11,0.054968,-0.091208,-0.133556,-0.08564,4,11
12,0.177906,-0.065081,-0.037351,0.022086,4,11
13,0.032065,0.00156,0.050922,0.012766,4,11
14,0.013732,0.0204,-0.05833,-0.445226,4,11
15,0.008705,-0.049048,0.024449,0.086177,4,3
16,0.008832,0.029297,0.070742,0.067871,9,8
17,0.00282,0.059793,0.082575,-0.136641,9,8
18,0.051867,0.0102,0.0065,0.076893,8,11
19,0.00435,-0.156781,-0.109642,-0.040583,9,8
20,0.010559,-0.015878,-0.013903,0.222741,9,8
21,0.053223,0.112076,0.115903,0.325431,10,0
22,0.008784,0.163568,0.313128,0.268558,9,0
23,0.118652,0.028931,-0.01853,-0.071363,9,8
24,0.000175,0.067961,0.139729,0.186718,9,8
25,0.984233,0.003267,0.003474,0.005935,9,0
26,0.751115,-0.045101,0.025847,-0.000852,9,0
27,0.986835,0.003622,0.001946,0.005277,9,0
28,0.995592,-0.000356,-0.001106,-0.000718,9,0
29,0.999402,0.000204,0.000306,0.000318,0,2
30,0.933345,-0.00508,-0.003389,0.0,1,10
31,0.96225,-0.007546,0.003237,-0.001947,0,2
32,0.895717,0.033917,0.078885,0.033917,10,0
33,0.940455,0.004319,0.011678,0.059896,0,2
34,0.345391,-0.001957,0.052075,0.052075,9,2
35,0.001765,-0.004582,0.064565,-0.004582,2,9
36,0.992438,0.000376,3.2e-05,-0.001162,1,6
37,0.86193,0.026863,0.005093,0.001336,9,2
38,0.574509,-0.008177,0.00557,-0.008177,2,9
39,0.209683,-0.077423,-0.025799,0.0,2,9
40,0.018789,-0.049232,-0.213501,-0.325866,4,11
41,0.009557,-0.249544,0.04816,-0.205219,4,11
42,0.020742,-0.130859,-0.033558,-0.509002,4,11
43,3e-05,-0.037249,0.094199,-0.041344,4,11
44,0.000144,-0.434076,-1.070752,-4.747078,4,11
45,0.005787,-0.099638,0.360342,-0.099638,0,0
46,0.440591,0.025554,0.045152,0.025554,2,9
47,0.697464,0.025127,0.063156,0.025127,10,0
48,0.000445,0.146493,-0.315769,0.0,10,0
49,0.004969,-0.000166,-0.002658,-0.000166,2,9
50,0.003459,-0.049854,-0.019514,-0.178828,1,7
51,0.202113,-0.040046,-0.152582,-0.152582,2,9
52,0.011096,0.038152,0.222489,0.038152,5,10
53,0.000124,-0.019706,-0.168364,0.0,1,5
54,0.001484,-0.031179,0.01496,-0.031179,2,9
55,0.47502,-0.050729,-0.026643,-0.050729,2,9
56,0.348356,0.007176,-0.027166,0.007176,2,9
57,0.004964,0.025056,-0.096702,-0.096702,2,9
58,0.008244,-0.053507,-0.183537,-0.053507,2,9
59,0.4821,0.048217,0.161373,0.331314,9,8
60,0.951403,-0.000808,0.000857,0.006419,8,11
61,0.940702,-0.002291,0.006192,-0.002291,1,6
62,0.004769,0.133587,0.160086,0.133587,9,8
63,0.983188,-0.000107,0.00075,-0.000107,5,10
64,0.991076,-0.001495,-0.001204,-0.002029,9,8
65,0.998893,0.000507,0.000681,0.000732,9,8
66,0.034632,-0.059305,-0.0335,0.112386,3,6
67,0.038865,-0.078588,0.077079,0.055934,3,6
68,0.04148,0.015901,0.097268,0.156706,3,6
69,0.789214,0.017139,0.015208,0.01179,10,0
70,0.842108,-0.011987,0.0016,-0.000878,0,2
71,0.983442,-0.001306,-0.000541,-0.001251,0,2
72,0.016519,0.089762,0.068165,-0.099059,9,8
73,0.040807,-0.027462,0.133806,0.173127,3,6
74,0.040362,-0.033558,0.075036,0.148561,3,6
75,0.551676,0.049321,0.047432,-0.002141,10,0
76,0.029913,-0.061976,0.053217,0.059347,3,6
77,0.021517,-0.071758,0.130669,0.100251,3,6
78,0.0167,-0.071071,-0.08114,0.029775,3,6
79,0.007667,-0.117425,-0.052559,0.159546,3,6
